# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Mar 12 19:59:22 MSK 2020 [seed=1584032327329]
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-140260.88920483075	-41.33287871486632	-140219.55632611588	1.6794540901582826	8.524243061421172	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-140219.55632611588	0.0	-41.25927815017994
1000	-44733.14182354402	56.9543398904451	-44790.096163434464	0.24642039993685216	0.9925040826050946	0.13800352694257292	3.2054423395076186	0.26480599762457324	0.259740980730113	0.22736788986747264	0.24808513177784108	1.0	1.0	-44790.096163434464	0.0	55.49773274273546
2000	-31272.870145017514	130.7718702138523	-31403.642015231366	0.0225930258658971	0.11053515545525726	0.020776381911167242	7.3246399540107205	0.2708646354307364	0.2606616563525241	0.22736788986747264	0.2411058183492668	1.0	1.0	-31403.642015231366	0.0	128.5539191013054
3000	-29812.996383690606	140.43005643055855	-29953.426440121166	0.00596945709795423	0.055417971858892065	0.014874202764049962	24.660941504095373	0.28732356000476456	0.2706999798703734	0.21609160235350078	0.22588485777136108	1.0	1.0	-29953.426440121166	0.0	140.33363223165446
4000	-29595.030030910093	137.1486023091909	-29732.178633219282	0.0038345500868292113	0.0502803243336717	0.01658557253688981	40.515939952365606	0.2836662688430088	0.27785476996783226	0.21609160235350078	0.22238735883565805	1.0	1.0	-29732.178633219282	0.0	138.43712901634476
5000	-29406.560574468644	130.83512725253945	-29537.395701721183	0.0029703664126936075	0.05414802907809785	0.014775563047866229	32.47645157579159	0.28319696128850724	0.291130050130716	0.20328562974511855	0.22238735883565805	1.0	1.0	-29537.395701721183	0.0	131.42013042464296
6000	-29287.68523430613	130.12550852598486	-29417.810742832113	0.0025805193005599882	0.053782227593773685	0.015719517730934936	52.84903576055774	0.2959533935142937	0.2897454206452523	0.18877491549729514	0.2255262703431587	1.0	1.0	-29417.810742832113	0.0	132.10824147488688
7000	-28952.426948685716	134.94015001604237	-29087.367098701758	0.002263802333843679	0.048228038502903844	0.016365186750960995	43.659698980817794	0.28768678210427606	0.29801203205526994	0.18877491549729514	0.2255262703431587	1.0	1.0	-29087.367098701758	0.0	136.42103138918173
8000	-28832.74851177607	134.5757954639978	-28967.32430724007	0.002131440173138687	0.047499717815860515	0.01829741506174482	40.38045760969806	0.29753225688064927	0.2937276528671894	0.18260819673178308	0.22613189352037807	1.0	1.0	-28967.32430724007	0.0	135.9534112112076
9000	-28716.28290016409	132.84423299037732	-28849.127133154467	0.0020875067434099606	0.04796860698927418	0.016646960042006758	54.96522176980474	0.2977068818766919	0.2937276528671894	0.16667296089633932	0.24189250435977921	1.0	1.0	-28849.127133154467	0.0	134.99860822293078
10000	-28615.839899213268	133.61087256058667	-28749.450771773856	0.0020217210304826114	0.04827075614154968	0.018616061390114545	35.047416238568275	0.3133628490908279	0.29806176637719267	0.15380267213525167	0.2347727123967276	1.0	1.0	-28749.450771773856	0.0	134.62591837930455
11000	-28508.635654484744	134.24298916977955	-28642.878643654523	0.0019526777350701993	0.04643148584281567	0.013446401705864556	36.04482574848568	0.31018932553152667	0.3078030743390861	0.1419515523086908	0.24005604782069628	1.0	1.0	-28642.878643654523	0.0	135.00695182912446
12000	-28496.72892583147	134.67998007384347	-28631.408905905315	0.001832183375271682	0.04615659008042892	0.01872551084842229	28.356703599764277	0.31641811164998807	0.31398599521399057	0.1289009373101601	0.2406949558258611	1.0	1.0	-28631.408905905315	0.0	135.1567807694008
13000	-28482.646114746873	128.9610274717295	-28611.607142218603	0.0019387682970074941	0.049304613759490475	0.022035961058094855	54.5547955523244	0.31641811164998807	0.311907371139322	0.1309795613848287	0.2406949558258611	1.0	1.0	-28611.607142218603	0.0	131.37395113140687
14000	-28372.832669142525	136.505138223115	-28509.33780736564	0.0017049157431472137	0.043342126275484325	0.01586783641469589	50.22182644531139	0.31641811164998807	0.311907371139322	0.1309795613848287	0.2406949558258611	1.0	1.0	-28509.33780736564	0.0	138.35026674859645
15000	-28283.552408226056	133.01448560228891	-28416.566893828345	0.001956604273242326	0.0471159781954736	0.019007913506023183	46.98742947992592	0.3133781440867106	0.311907371139322	0.13401952894810618	0.2406949558258611	1.0	1.0	-28416.566893828345	0.0	134.85076976107837
16000	-28261.413898622788	136.6327621653833	-28398.04666078817	0.0020153540770899343	0.045491111412669226	0.016143327397621192	27.50917056654371	0.3133781440867106	0.311907371139322	0.13156700380958503	0.24314748096438224	1.0	1.0	-28398.04666078817	0.0	136.88559577876285
17000	-28228.72396774436	137.5262612048135	-28366.250228949175	0.0029129675323032876	0.04586164724383869	0.012840833295477057	35.812318860926766	0.3133781440867106	0.31508800562784567	0.13156700380958503	0.23996684647585856	1.0	1.0	-28366.250228949175	0.0	138.22697925120323
18000	-28238.42092878824	139.90938918579292	-28378.330317974032	0.0032782052261261527	0.04261872090277007	0.016865964767750378	72.63970134359315	0.31572135333879486	0.30531933188596455	0.13156700380958503	0.2473923109656554	1.0	1.0	-28378.330317974032	0.0	142.91703353665645
19000	-28224.71454109562	142.0626757143223	-28366.77721680994	0.002819313606153711	0.04161895420953649	0.014896297220183588	50.310168313560794	0.31572135333879486	0.3067343029428534	0.13402575323144905	0.24351859048690253	1.0	1.0	-28366.77721680994	0.0	143.84966159656153
20000	-28237.43684568423	137.98153486224444	-28375.418380546475	0.002328068517788714	0.043135763805155186	0.01246735838575858	50.1644410550408	0.3171229806520708	0.3067343029428534	0.1325697919956678	0.24357292440940784	1.0	1.0	-28375.418380546475	0.0	139.582206234582
21000	-28238.691951496894	138.93082653063314	-28377.622778027526	0.002985344910319391	0.04517427861041768	0.014957749327898055	53.44219905653528	0.3171229806520708	0.3067343029428534	0.1325697919956678	0.24357292440940784	1.0	1.0	-28377.622778027526	0.0	140.8962839009269
22000	-28236.837111229277	137.596566543544	-28374.43367777282	0.0025759233720371857	0.04638932130722635	0.016430828476602977	34.949671982653214	0.31152901489053936	0.30884340762068996	0.13735818281077886	0.24226939467799166	1.0	1.0	-28374.43367777282	0.0	138.47938683235097
23000	-28234.961676546587	141.7619367311499	-28376.723613277736	0.002764237426629916	0.0424619927411988	0.013033478403741262	39.712684448481745	0.31152901489053936	0.31055857981678864	0.13753290093845358	0.2403795043542183	1.0	1.0	-28376.723613277736	0.0	142.7549304025958
24000	-28231.29701567184	139.86564056937587	-28371.162656241217	0.0027653880932470946	0.04307624399467071	0.017732165298423544	35.223516132860695	0.3192446015247447	0.3048504071499431	0.13167662939990127	0.24422836192541084	1.0	1.0	-28371.162656241217	0.0	140.84526312139275
25000	-28224.63551495357	137.54034908955302	-28362.17586404312	0.0024627911764075485	0.04333172503498736	0.01924102011220723	45.122723464281	0.31419792931889456	0.30429333958792065	0.13734010438943642	0.24416862670374828	1.0	1.0	-28362.17586404312	0.0	139.27499469746482
26000	-28234.39683388191	137.0181647577542	-28371.414998639666	0.0028767994132047293	0.04529610117124744	0.01401544393438922	44.55147891587914	0.3125257336922263	0.30429333958792065	0.13734010438943642	0.24584082233041654	1.0	1.0	-28371.414998639666	0.0	138.40032937252053
27000	-28227.89656284011	135.2935795216892	-28363.1901423618	0.002564052355915592	0.04527307193855721	0.02153208064748243	31.020308723537703	0.31064873569116636	0.3125573153965647	0.1336989481851992	0.24309500072706966	1.0	1.0	-28363.1901423618	0.0	136.13712721957236
28000	-28227.980789677207	138.15498635816235	-28366.13577603537	0.0029139443637215406	0.04531356642506793	0.013780240872399485	36.47870582762326	0.3106238866623945	0.3169685969781031	0.12999853549254856	0.24240898086695378	1.0	1.0	-28366.13577603537	0.0	138.97527808996432
29000	-28235.291378778464	136.89442449616215	-28372.185803274624	0.002752493159670969	0.04624352957543328	0.017733674826728617	48.506974878477344	0.31104619985995346	0.31343996373066646	0.12957622229498958	0.24593761411439044	1.0	1.0	-28372.185803274624	0.0	138.75152117712432
30000	-28231.747336382905	138.6698644399605	-28370.417200822867	0.0026000179129643435	0.04384244644242494	0.015424897772845912	44.000127296479214	0.30722092972166176	0.3163036730431108	0.13053778312083694	0.24593761411439044	1.0	1.0	-28370.417200822867	0.0	140.11316021442366
31000	-28232.322173623394	136.1096599360182	-28368.43183355941	0.0023523967241901463	0.045939922756271595	0.013673588053983261	30.960397554796426	0.30751244240426223	0.3163036730431108	0.13024627043823644	0.24593761411439044	1.0	1.0	-28368.43183355941	0.0	136.49418546785932
32000	-28246.84766176428	132.40459494591565	-28379.252256710195	0.0025404899348925054	0.046811199752421866	0.022506929309694886	51.55375800588588	0.3062125489409602	0.32144735768623967	0.13154616390153845	0.24079392947126158	1.0	1.0	-28379.252256710195	0.0	134.67450422972522
33000	-28238.331279720587	137.3402903751699	-28375.671570095757	0.0025988964456356975	0.04582742169532857	0.016101181306524503	40.842365980992625	0.3062125489409602	0.3182960508163179	0.13154789017741134	0.24394351006531045	1.0	1.0	-28375.671570095757	0.0	138.62109654058906
34000	-28222.954361712025	139.13142331435733	-28362.085785026382	0.0025270628298359526	0.04206658589712653	0.0176617086797789	43.05541747248311	0.3112150813086451	0.31541464361335897	0.12942676501268535	0.24394351006531045	1.0	1.0	-28362.085785026382	0.0	140.6499065575337
35000	-28229.972020672005	139.26281985588963	-28369.234840527894	0.002929077385861375	0.04443459552211034	0.01563203372631705	38.51296218026066	0.3112150813086451	0.3113810274238741	0.13346038120217027	0.24394351006531045	1.0	1.0	-28369.234840527894	0.0	140.35459191673615
36000	-28233.668215017955	139.65754308370182	-28373.325758101655	0.0025960429294972238	0.04260031646491285	0.01290449049793264	54.142549263160625	0.3112150813086451	0.31156386693458493	0.13327754169145944	0.24394351006531045	1.0	1.0	-28373.325758101655	0.0	141.51323972035556
37000	-28224.531484382653	143.4463556155883	-28367.977839998242	0.0027080916510533325	0.04104296414254891	0.0109566993120324	35.84238847189482	0.31272454944734557	0.31542871278638407	0.1288894894291722	0.2429572483370981	1.0	1.0	-28367.977839998242	0.0	143.9906189849079
38000	-28231.782011697276	138.83125221819705	-28370.613263915475	0.00263792192051878	0.044553846727893726	0.01748702740052421	35.84238847189482	0.3102759384172237	0.3164173247066394	0.1288894894291722	0.24441724744696464	1.0	1.0	-28370.613263915475	0.0	139.84302382365368
39000	-28233.033866216905	137.20215809203043	-28370.236024308935	0.003020408261405424	0.04640753747562488	0.01672820118466054	43.58308351420863	0.3102759384172237	0.3150955574187989	0.1314887359190281	0.2431397682449492	1.0	1.0	-28370.236024308935	0.0	138.70010282458597
40000	-28233.33484697436	139.89358043976165	-28373.228427414124	0.0028146056799680736	0.043396914760500935	0.017109087023788536	35.45789192176816	0.3145394264128696	0.3150955574187989	0.1272252479233822	0.2431397682449492	1.0	1.0	-28373.228427414124	0.0	140.85495148137665
41000	-28230.36778169753	140.85183695280082	-28371.219618650328	0.002524065245805485	0.04289497904091641	0.014854080263796579	35.45789192176816	0.31752934609475675	0.3077690012929397	0.13156188436735422	0.2431397682449492	1.0	1.0	-28371.219618650328	0.0	141.67187285989937
42000	-28226.65397306475	139.0987405498963	-28365.752713614645	0.0029685493784474956	0.04498362242662382	0.015933318265349092	40.89113554555444	0.31752934609475675	0.3077690012929397	0.13156188436735422	0.2431397682449492	1.0	1.0	-28365.752713614645	0.0	140.3723298986608
43000	-28228.915257808338	139.17365172394958	-28368.088909532285	0.003006500383256366	0.0449165980136637	0.013413403831847111	40.89113554555444	0.31095184218782324	0.31131803813829534	0.13050760994710686	0.24722250972677443	1.0	1.0	-28368.088909532285	0.0	140.2750831605376
44000	-28228.56920509703	136.14575648764395	-28364.714961584672	0.0025069886878310407	0.04654867997296231	0.015797622283936476	41.503806406413304	0.3120191649796541	0.3125315574518932	0.13050760994710686	0.24494166762134573	1.0	1.0	-28364.714961584672	0.0	137.45153789572927
45000	-28225.183438311018	140.79267287808545	-28365.976111189102	0.0030115467843081583	0.04423583511658883	0.014807177486986303	41.503806406413304	0.3120191649796541	0.314721642692542	0.12905084556735505	0.24420834676044875	1.0	1.0	-28365.976111189102	0.0	142.03370687437013
46000	-28234.70918857109	138.30602639760886	-28373.0152149687	0.0028488637414827407	0.04376938843874013	0.01846795500704429	47.157879818890876	0.304709382698902	0.31663406535854377	0.13629414707799795	0.24236240486455618	1.0	1.0	-28373.0152149687	0.0	140.12372188046677
47000	-28225.032862941942	140.77960848248281	-28365.812471424426	0.0025889644789222764	0.04328930071600329	0.013156008251108608	34.99511333676411	0.304709382698902	0.3101712247358624	0.13629414707799795	0.24882524548723758	1.0	1.0	-28365.812471424426	0.0	141.44357165022896
48000	-28234.48374586128	136.53045464544647	-28371.014200506725	0.0024679954088567724	0.046542238853472945	0.015479828806353084	47.553104473174706	0.31843372354770283	0.3101712247358624	0.13518017908580074	0.236214872630634	1.0	1.0	-28371.014200506725	0.0	138.1952608449118
49000	-28226.0958562884	140.47397350293429	-28366.569829791333	0.0028899874435913005	0.04305712939394351	0.014710895676632241	37.45425205288434	0.31843372354770283	0.3101712247358624	0.13518017908580074	0.236214872630634	1.0	1.0	-28366.569829791333	0.0	141.43009264280957
50000	-28230.401840629296	135.87487516719483	-28366.27671579649	0.0033488021204357223	0.04718686981325538	0.019932776973261852	41.614062560908145	0.3113087575880118	0.3078867718715637	0.13518017908580074	0.24562429145462372	1.0	1.0	-28366.27671579649	0.0	137.42044603737457
51000	-28237.407920976566	139.30241628526102	-28376.710337261826	0.0028511713444796037	0.044382154114201426	0.018942508806797244	31.72124897653563	0.3084038123704167	0.3107917170891588	0.13518017908580074	0.24562429145462372	1.0	1.0	-28376.710337261826	0.0	140.07514981007645
52000	-28222.637663274203	139.20364808879927	-28361.841311363	0.002602739672450343	0.044798727488357226	0.013795516973293247	32.250292209931544	0.3123614759152736	0.3123858015753448	0.13122251554094388	0.2440302069684378	1.0	1.0	-28361.841311363	0.0	139.70195383830963
53000	-28223.189315221247	139.61519893633584	-28362.804514157582	0.00266890554991349	0.043470098773068074	0.0168078140815273	46.624208154981176	0.3150049696162418	0.3155065794762241	0.13027420284894184	0.23921424805859237	1.0	1.0	-28362.804514157582	0.0	141.30657662770275
54000	-28225.967089605965	140.2914825171628	-28366.258572123126	0.002901640378561545	0.044601627296352045	0.015108096347915854	35.88168240643725	0.3191210555204942	0.31139049357197174	0.13027420284894184	0.23921424805859237	1.0	1.0	-28366.258572123126	0.0	141.15993027795156
55000	-28227.922972590462	143.14259477173107	-28371.065567362195	0.002676401415211011	0.040697051978980894	0.015965450810005652	34.90054076924812	0.31764417816610896	0.31078456782118913	0.13088012859972448	0.2406911254129776	1.0	1.0	-28371.065567362195	0.0	143.99297729139164
56000	-28228.19911572609	140.40197755438734	-28368.601093280475	0.002293193301106288	0.042959901589021306	0.016493630278395673	34.90054076924812	0.3171524615440208	0.31078456782118913	0.13102298482733185	0.24103998580745836	1.0	1.0	-28368.601093280475	0.0	141.28490727352406
57000	-28230.333252057655	140.1859405403322	-28370.51919259799	0.0023574448505351855	0.04121305150165018	0.020058996713365647	37.48082061341626	0.31479516427815984	0.3131418650870501	0.13102298482733185	0.24103998580745836	1.0	1.0	-28370.51919259799	0.0	141.45404874501887
58000	-28230.51029719052	140.77701924351388	-28371.287316434034	0.0028124808824882466	0.04312973036646856	0.015423188367626697	53.57557607785925	0.31479516427815984	0.3131418650870501	0.13102298482733185	0.24103998580745836	1.0	1.0	-28371.287316434034	0.0	142.78036550177455
59000	-28226.753153792124	136.26989840536314	-28363.023052197488	0.002906718832716352	0.04556637725086671	0.012362995678074256	42.50645928563839	0.31158697501090504	0.31488738774151737	0.1324856514401194	0.24103998580745836	1.0	1.0	-28363.023052197488	0.0	137.39622426221135
60000	-28225.13005823573	139.71151572547728	-28364.841573961206	0.002738956457700612	0.04455668039714492	0.01592126501580563	35.182691725307706	0.31158697501090504	0.31488738774151737	0.132244566686223	0.24128107056135475	1.0	1.0	-28364.841573961206	0.0	140.5803531294971
61000	-28237.680750854932	138.58452714402236	-28376.265277998955	0.002285918468731195	0.042957264408410474	0.011382657562035565	65.38859295112502	0.31158697501090504	0.3198058416036707	0.13138445295216938	0.23722273043325506	1.0	1.0	-28376.265277998955	0.0	140.8762091636136
62000	-28239.55957095008	138.62200164231908	-28378.1815725924	0.002628657473364307	0.04261763770645273	0.018640591712781495	62.284591731194	0.31158697501090504	0.3180292268402517	0.1331610677155884	0.23722273043325506	1.0	1.0	-28378.1815725924	0.0	141.26006717117227
63000	-28246.918619447235	141.3134798290048	-28388.23209927624	0.0024528054850391254	0.0427495929954881	0.015439267411564138	31.4647198749673	0.31158697501090504	0.3071465031991948	0.1331610677155884	0.248105454074312	1.0	1.0	-28388.23209927624	0.0	141.86085190776745
64000	-28237.399749010576	139.27282616705293	-28376.67257517763	0.002827155731195087	0.043916636861332334	0.015908474685215578	45.51473042902635	0.3109377809358312	0.3144139536711249	0.12796573066312153	0.24668253472992266	1.0	1.0	-28376.67257517763	0.0	140.8415061307228
65000	-28233.3196046842	140.3131968960912	-28373.63280158029	0.0024025997317041765	0.0423703355738215	0.01562221258317577	46.81439841087182	0.31743081780165294	0.3144139536711249	0.12796573066312153	0.2401894978641009	1.0	1.0	-28373.63280158029	0.0	141.94290551915762
66000	-28236.03242194374	139.59760156988511	-28375.630023513622	0.003005733136887083	0.04605692828995233	0.014645309685804207	26.783816663124366	0.3096382418291528	0.3124658443741893	0.13586589742777005	0.2420300163688882	1.0	1.0	-28375.630023513622	0.0	139.68697296135696
67000	-28241.193478856152	138.48352904257274	-28379.677007898725	0.0028467205403183912	0.04576599500937673	0.01737437750198169	38.980654446141166	0.31415221730832427	0.31790557929363783	0.13135192194859857	0.2365902814494397	1.0	1.0	-28379.677007898725	0.0	139.7135721113566
68000	-28237.590355638342	140.71659202510514	-28378.30694766345	0.0025792652697145106	0.04348386991957932	0.015497128920321986	49.803154099233936	0.31494661389053424	0.31790557929363783	0.1328781695793353	0.23426963723649302	1.0	1.0	-28378.30694766345	0.0	142.51410669447688
69000	-28225.58041176981	139.27783596313677	-28364.858247732947	0.002718014781272825	0.043735949952668544	0.013967010556241739	46.648468768890815	0.3213240590776266	0.31152813410654545	0.1328781695793353	0.23426963723649302	1.0	1.0	-28364.858247732947	0.0	140.78553444398798
70000	-28224.364146776858	139.46534662567402	-28363.829493402533	0.0028354362994021023	0.0438187212904704	0.014732605585048037	46.648468768890815	0.31147338776220607	0.31743832201756683	0.1305301265895367	0.2405581636306908	1.0	1.0	-28363.829493402533	0.0	141.02641005091868
71000	-28225.749424777874	141.96825164580648	-28367.71767642368	0.002856442764442186	0.041620706860091776	0.015630193248398244	44.42401255040249	0.31038985240508904	0.31817509574038183	0.13087688822383875	0.2405581636306908	1.0	1.0	-28367.71767642368	0.0	143.45147003895585
72000	-28224.13304708043	138.7189927803974	-28362.852039860827	0.0026419349177880897	0.044581606954738125	0.015539665721383066	41.70383720487963	0.31038985240508904	0.31817509574038183	0.13087688822383875	0.2405581636306908	1.0	1.0	-28362.852039860827	0.0	140.0215135479338
73000	-28233.413846263	136.27067469327696	-28369.684520956278	0.002864416573378969	0.046697754674837263	0.013267767484549869	41.70383720487963	0.31038985240508904	0.31817509574038183	0.13087688822383875	0.2405581636306908	1.0	1.0	-28369.684520956278	0.0	137.41513722335804
74000	-28229.435883832943	136.61927846859834	-28366.05516230154	0.0026522474450577037	0.04502357532854771	0.013939863492471873	68.52327760944775	0.30897941111409677	0.3185938189788314	0.13228732951483105	0.24013944039224125	1.0	1.0	-28366.05516230154	0.0	139.25645955375046
75000	-28231.602031109476	142.35002950723626	-28373.952060616713	0.002839491613986275	0.0435496668830223	0.015132992499514292	29.087813206404032	0.30886207209880684	0.3185938189788314	0.13240466853012098	0.24013944039224125	1.0	1.0	-28373.952060616713	0.0	142.67768577511012
76000	-28221.295311512647	139.7124925811445	-28361.00780409379	0.0026458127448142138	0.04395777002694364	0.01321072851712159	43.20227601539326	0.30886207209880684	0.3138825970593632	0.12976452346622855	0.24749080737560186	1.0	1.0	-28361.00780409379	0.0	140.9500351882813
77000	-28240.37500678998	134.53766267951983	-28374.912669469497	0.0023051645378169296	0.044180171091179714	0.02267412214784825	47.21442971000116	0.30886207209880684	0.3138825970593632	0.13584828805875912	0.2414070427830713	1.0	1.0	-28374.912669469497	0.0	136.56393292158373
78000	-28225.24996244926	138.30828986001404	-28363.558252309274	0.0032509035095311255	0.045121763250489604	0.012379299266310491	47.21442971000116	0.3087480361496235	0.3138825970593632	0.1341968121761142	0.24317255461489956	1.0	1.0	-28363.558252309274	0.0	139.7293614849437
79000	-28226.44765623684	140.23250394920296	-28366.680160186042	0.002731014563942542	0.04288117361221506	0.011094558648397892	30.61285272784818	0.3113444026296604	0.31845391729870287	0.12962549193677453	0.2405761881348626	1.0	1.0	-28366.680160186042	0.0	140.37919386161033
80000	-28223.1583387643	141.19457857559513	-28364.352917339897	0.002631916712438321	0.04224245557442655	0.01381852593785075	40.089011168881164	0.31662952789012155	0.3119602456093513	0.1308340383656649	0.2405761881348626	1.0	1.0	-28364.352917339897	0.0	142.27170836549806
81000	-28226.13326112511	137.7402446687547	-28363.873505793865	0.002593217817155259	0.045020615075315726	0.014993480240692953	39.56974649204172	0.3130100212948764	0.31028863344972757	0.13415416934830066	0.24254717590709576	1.0	1.0	-28363.873505793865	0.0	138.86354233681797
82000	-28231.37243829219	134.06092231709857	-28365.433360609288	0.002822649648404248	0.04598040366090004	0.011410317060330554	42.85733340106837	0.3130100212948764	0.31028863344972757	0.13315466011226715	0.24354668514312927	1.0	1.0	-28365.433360609288	0.0	135.12976734835956
