# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Mar 12 18:57:23 MSK 2020 [seed=1584028601078]
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-199056.55171916474	-69.96083587336243	-198986.59088329138	2.919688409750071	13.802013705088843	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-198986.59088329138	0.0	-69.88723530867604
1000	-57567.17549381514	63.53212013324659	-57630.70761394839	0.2652200175346172	1.1756629827294145	0.16612650583797478	3.6238901945998196	0.26623254708102184	0.24331975944298176	0.24044769357599638	0.2499999999	1.0	1.0	-57630.70761394839	0.0	62.40144398816569
2000	-41075.173030765385	131.83176584102802	-41207.004796606416	0.03247173500030822	0.19260094841454614	0.0474124016700567	7.413860129905272	0.26185039516396297	0.24954338206600252	0.2380916318059908	0.25051459096404377	1.0	1.0	-41207.004796606416	0.0	130.45871663598223
3000	-36503.42302183492	149.43139812489258	-36652.85441995981	0.018133037728605427	0.11818608515866524	0.03271886002764292	10.587804666124116	0.2696198049370634	0.26023206303674795	0.21963354106214494	0.25051459096404377	1.0	1.0	-36652.85441995981	0.0	148.31323334397499
4000	-34979.21867436407	155.86019349143416	-35135.0788678555	0.015023864285244156	0.1007639823628532	0.014612300488407668	14.056498735482746	0.27065208192702317	0.2683224888923955	0.21753355407667582	0.24349187510390558	1.0	1.0	-35135.0788678555	0.0	154.491622218343
5000	-34586.92996971485	152.00863710903312	-34738.93860682389	0.014547919965856618	0.09940641004259224	0.021138709969888137	32.6992734323524	0.27065208192702317	0.2795258660672613	0.21044348761604054	0.23937856438967506	1.0	1.0	-34738.93860682389	0.0	152.96947901674028
6000	-34230.647545098516	154.42985061794616	-34385.077395716464	0.014434000253441999	0.09466263431308694	0.017090925164553863	41.245487797180566	0.2770844966379436	0.278011836127536	0.20659134187405173	0.23831232536046873	1.0	1.0	-34385.077395716464	0.0	155.79719759825923
7000	-34018.20132816659	148.93267485534514	-34167.134003021936	0.015370212237611716	0.09911576755157131	0.02126559758542205	34.255372664612736	0.2874852503339771	0.28389596002832673	0.20442289301758723	0.22419589662010903	1.0	1.0	-34167.134003021936	0.0	150.02069223053576
8000	-33844.566477239496	145.16410577162057	-33989.730583011115	0.014936877818199044	0.0969930068345062	0.017620470682821583	28.83983534051163	0.2909540194390815	0.2910688206601895	0.19919679781710647	0.21878036208362253	1.0	1.0	-33989.730583011115	0.0	145.62241971607915
9000	-33636.687236883525	147.6454249619073	-33784.33266184543	0.012410032958294886	0.09062930391067354	0.020399150143948087	31.623352805206203	0.29812723279901543	0.28919194388010855	0.1903887511007	0.22229207222017605	1.0	1.0	-33784.33266184543	0.0	148.48429496511488
10000	-33417.81227743533	146.1249493038069	-33563.93722673914	0.012686687195603065	0.0903423855850258	0.023324264057307757	42.34151289891873	0.2930561198634811	0.28876831805586983	0.185105569980097	0.23306999210055204	1.0	1.0	-33563.93722673914	0.0	147.8753362380753
11000	-32139.62450050386	151.68258723563156	-32291.307087739493	0.011976615082080637	0.08359155693060406	0.0230943502504712	42.572700016210916	0.29912802849390085	0.2959941641937543	0.1774371495361812	0.22744065777616362	1.0	1.0	-32291.307087739493	0.0	153.43809149330076
12000	-31821.677157897047	159.72111111201914	-31981.398269009067	0.012229638871054875	0.07863339205334079	0.016932435142553943	35.66194299945214	0.3027372340042492	0.3023557389445059	0.1537160934511392	0.24119093360010566	1.0	1.0	-31981.398269009067	0.0	160.68728442931143
13000	-31790.181738826508	160.50078558013524	-31950.682524406642	0.012311634917013523	0.07616119875379111	0.019909093153432013	33.9496330041837	0.31018790807705804	0.3055377293597466	0.1505341030358985	0.2337402595272968	1.0	1.0	-31950.682524406642	0.0	161.49941045413843
14000	-31748.9584399085	159.2126729756668	-31908.171112884167	0.010687143330371228	0.07281114093955962	0.01671302441811945	33.9496330041837	0.3071372662748159	0.3148192954311427	0.13894401379832239	0.23909942449571892	1.0	1.0	-31908.171112884167	0.0	160.03630960065362
15000	-31699.647662843894	158.78090491164332	-31858.428567755538	0.01140295512576721	0.07417523817649485	0.018951805201428345	35.02788665311508	0.3068484317437784	0.31033182605678233	0.1392328483293599	0.24358689387007926	1.0	1.0	-31858.428567755538	0.0	159.81235585692
16000	-31695.59595538323	152.43556955747476	-31848.031524940703	0.010833085879295745	0.07672520443300235	0.015581916099941983	46.92355695015868	0.30706637519471136	0.30815214721921963	0.1411945837159897	0.24358689387007926	1.0	1.0	-31848.031524940703	0.0	154.0692686114679
17000	-31685.84409892244	157.52025473749586	-31843.364353659937	0.012015252063659766	0.0763244150177579	0.01824561551382165	38.35563064864027	0.31189531322897646	0.31198505517278047	0.13736167576242883	0.2387579558358142	1.0	1.0	-31843.364353659937	0.0	158.75559596342822
18000	-31694.595829967948	154.45183596823543	-31849.047665936185	0.01247909825341741	0.07964560902342128	0.022813903334912768	34.709680247175825	0.31189531322897646	0.31198505517278047	0.13736167576242883	0.2387579558358142	1.0	1.0	-31849.047665936185	0.0	155.64472929615633
19000	-31703.236460543892	154.44080548960596	-31857.677266033497	0.012476242054360305	0.08075316169488546	0.017461259656271672	41.14072995802365	0.31189531322897646	0.3096465536655653	0.13736167576242883	0.24109645734302934	1.0	1.0	-31857.677266033497	0.0	155.8226222393613
20000	-31690.661742310014	158.93587226244608	-31849.59761457246	0.012754165973471208	0.07679112499987728	0.015153103027796558	30.79662135231494	0.31189531322897646	0.30898004229321296	0.13736167576242883	0.24176296871538175	1.0	1.0	-31849.59761457246	0.0	159.40958430924127
21000	-31642.77129143646	158.43142343094976	-31801.20271486741	0.012874613257716333	0.07886423490912148	0.015929897754946028	35.890959425432534	0.31747857830861165	0.3033967772135778	0.13736167576242883	0.24176296871538175	1.0	1.0	-31801.20271486741	0.0	159.35352353919208
22000	-31644.426974390946	157.21337311392958	-31801.640347504876	0.013001030842094067	0.07930765386497084	0.01736970709018003	38.38839782743702	0.31747857830861165	0.30450688208298293	0.1375647512093355	0.2404497883990699	1.0	1.0	-31801.640347504876	0.0	158.4018179985159
23000	-31644.904322313247	157.88803407494402	-31802.792356388192	0.011225879850911634	0.07479120226759355	0.02065679560893381	38.38839782743702	0.32057739283748893	0.30450688208298293	0.13356483305673858	0.24135089202278953	1.0	1.0	-31802.792356388192	0.0	159.2497955928401
24000	-31650.014308790665	158.19073394036877	-31808.205042731035	0.011186581274826942	0.07484263916296971	0.014625551131117107	44.222018618499895	0.32057739283748893	0.30591810690185234	0.13215360823786917	0.24135089202278953	1.0	1.0	-31808.205042731035	0.0	159.59481864455552
25000	-31627.34484047474	162.71015735286335	-31790.054997827603	0.01247056820095266	0.07444510161948534	0.014400122526999539	38.48895076200459	0.31484068149565364	0.306536867050314	0.1337794157301802	0.24484303572385213	1.0	1.0	-31790.054997827603	0.0	163.71816222239727
26000	-31621.70918288442	154.37938931472127	-31776.088572199144	0.011569350485654705	0.07890934051050832	0.020541810840986833	37.51517037061545	0.3114408768567948	0.310457594389998	0.1337794157301802	0.244322113023027	1.0	1.0	-31776.088572199144	0.0	155.67373669096986
27000	-31501.309423972856	160.38002453988463	-31661.68944851274	0.011967624537696871	0.07426395343422684	0.01616556609603701	49.19077122192522	0.3085563378517535	0.31334213339503925	0.13547407681965015	0.24262745193355706	1.0	1.0	-31661.68944851274	0.0	162.18441762592508
28000	-31504.02627678269	156.34589443485527	-31660.372171217547	0.012087697518335157	0.0776310885940131	0.01445137810270282	31.921857939860555	0.310096333508694	0.31334213339503925	0.1339340811627097	0.24262745193355706	1.0	1.0	-31660.372171217547	0.0	156.8642393085636
29000	-31511.482819992263	154.64962329368805	-31666.13244328595	0.011920985564852861	0.07782198292461939	0.016433471209944355	39.46344640488641	0.3100970410868358	0.3105900183362355	0.1368960788894377	0.24241686168749096	1.0	1.0	-31666.13244328595	0.0	155.85732741248353
