	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16729.87589381	7.8999528573508	0.40840398844523	19.343476265806	2.31341356714331e-83	1.34455596522369e-79
gene-YDR536W	gene-YDR536W	10088.3875658594	7.87425693956813	0.411570622751939	19.1322132928669	1.36168301494364e-81	3.95705084142622e-78
gene-YHR094C	gene-YHR094C	8495.18381695328	7.88162386938916	0.432048876169408	18.2424357615937	2.37629148329055e-74	4.60366870029488e-71
gene-YNL065W	gene-YNL065W	2109.59251633768	7.78535627514163	0.466922818323691	16.673754140121	2.03408242567193e-62	2.95552176450132e-59
gene-YKL120W	gene-YKL120W	1727.16576088197	7.269328320204	0.482440410093755	15.067826343136	2.63645240449296e-51	3.06461227498262e-48
gene-YLR264W	gene-YLR264W	1387.81187716781	6.48318040994931	0.432159579811289	15.0018204219384	7.14329241606575e-51	6.91946925369569e-48
gene-YGR159C	gene-YGR159C	8021.26313257396	6.76742031620479	0.451849026219811	14.9771714079398	1.03530398798448e-50	7.52148347270725e-48
gene-YJL122W	gene-YJL122W	1291.14917225209	6.51163388401815	0.43455930161623	14.9844540429806	9.27848705850138e-51	7.52148347270725e-48
gene-YNL112W	gene-YNL112W	5328.97759833763	7.36398330672534	0.493558741352721	14.920176039315	2.43629786374829e-50	1.57330702045612e-47
gene-YOR271C	gene-YOR271C	1052.36038007439	6.84435920650621	0.472758689180215	14.4774900242968	1.68125216552747e-47	9.77143758604564e-45
gene-YJL108C	gene-YJL108C	955.200371924124	5.99608779607671	0.427990378126919	14.0098658813741	1.35660927565471e-44	7.16783010009561e-42
gene-YJL107C	gene-YJL107C	845.32657171764	6.17172279192621	0.443100601393576	13.9284911203366	4.25244479048748e-44	2.05960076019277e-41
gene-YOR360C	gene-YOR360C	1923.1949752374	5.65887628654402	0.406988919229157	13.904251489849	5.96880074777735e-44	2.66851307277553e-41
gene-YOL124C	gene-YOL124C	594.101731156924	7.8043311384521	0.562817839480244	13.8665312131174	1.01046519009633e-43	4.19487406059989e-41
gene-YOL136C	gene-YOL136C	1160.43896362789	5.70730204396951	0.416379851836682	13.7069601682074	9.22421305483126e-43	3.57407508497862e-40
gene-YER127W	gene-YER127W	730.701936765397	5.98033085646133	0.44127322314092	13.5524444784893	7.66349046481398e-42	2.78376291134368e-39
gene-YLR180W	gene-YLR180W	1930.66985394137	6.78031215423464	0.503972279866791	13.4537402652916	2.92684860499005e-41	1.0006378877766e-38
gene-YCR072C	gene-YCR072C	701.05391549194	5.89494299622225	0.439050673468313	13.4265663451891	4.2255439215067e-41	1.3643811817665e-38
gene-YNL141W	gene-YNL141W	2900.84297940906	6.47313923509472	0.482296528867467	13.4214924795229	4.52507250011476e-41	1.38419586161405e-38
gene-YML043C	gene-YML043C	522.191508267393	6.41398525075236	0.481894255532535	13.3099433685184	2.02635272838072e-40	5.88858102867437e-38
gene-YMR300C	gene-YMR300C	1596.52769738779	5.82196315003354	0.439575399805466	13.2445153951064	4.85404879651046e-40	1.34341579072947e-37
gene-YEL026W	gene-YEL026W	2038.49812483679	5.36791764893136	0.409763388890017	13.1000421083792	3.29075040359638e-39	8.69356424804643e-37
gene-YOR359W	gene-YOR359W	477.945924501065	6.35696661044973	0.486217685092778	13.0743220688008	4.61661358080965e-39	1.16659817963764e-36
gene-YHR066W	gene-YHR066W	1305.51878097384	5.58287922167702	0.428108978729116	13.0407898433954	7.17102866189139e-39	1.73658410762137e-36
gene-YGR079W	gene-YGR079W	1514.38027562165	5.32835399669214	0.409280538104642	13.0188306078942	9.56241010278494e-39	2.22306910069544e-36
