#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	33.81476
k__Bacteria|p__Proteobacteria	18.04195
k__Bacteria|p__Bacteroidetes	16.44011
k__Bacteria|p__Actinobacteria	12.12872
k__Bacteria|p__Fusobacteria	7.62489
k__Bacteria|p__Spirochaetes	7.23162
k__Bacteria|p__Candidatus_Saccharibacteria	3.59501
k__Bacteria|p__Synergistetes	1.12293
k__Bacteria|p__Firmicutes|c__Clostridia	22.19118
k__Bacteria|p__Actinobacteria|c__Actinobacteria	12.12872
k__Bacteria|p__Firmicutes|c__Bacilli	11.53875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8.8903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8.24828
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	7.62489
k__Bacteria|p__Spirochaetes|c__Spirochaetia	7.23162
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	5.28376
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	3.59501
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3.42903
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3.08544
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2.90807
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.63719
k__Bacteria|p__Synergistetes|c__Synergistia	1.12293
k__Bacteria|p__Firmicutes|c__Negativicutes	0.08483
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	22.19118
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	12.12872
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10.30874
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	8.24828
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	7.62489
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	7.23162
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	6.20914
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	5.28376
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	3.59501
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	3.42903
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2.90807
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.68116
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	2.63719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	1.84992
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	1.23552
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.23001
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	1.12293
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.08483
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	7.23162
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.5319
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	6.20914
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname	5.28376
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	5.24471
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	4.94944
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	4.85284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	4.65634
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	4.51722
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	4.49362
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	4.22746
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.99456
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	3.59501
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	3.42903
