# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
Mucin                   19.2   0.00087   2   2.5  12.2    Mucin-like glycoprotein
CBM_14                  17.6    0.0031   4   3.9   6.3    Chitin binding Peritrophin-A domain
Toxin_35                14.5     0.024   3   2.7   1.7    Toxin with inhibitor cystine knot ICK or Knottin scaffold

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
Mucin                   19.2   0.00087     1  12.2     53    245     60    218     15    108     Mucin-like glycoprotein
CBM_14                  17.6    0.0031     3   6.3    326    377    326    371      1     46     Chitin binding Peritrophin-A domain
Toxin_35                14.5     0.024     3   1.7    395    451    399    443      7     51     Toxin with inhibitor cystine knot ICK or Knottin scaffold
CBM_14                   4.7        33     4   7.6    405    465    414    452      8     42     Chitin binding Peritrophin-A domain
CBM_14                   3.0   1.1e+02     2   3.3     47    105     56     99     15     45     Chitin binding Peritrophin-A domain
Mucin                    1.5   2.6e+02     2   1.2    275    309    290    301     46     57     Mucin-like glycoprotein
Toxin_35                -1.9   3.2e+03     2   1.5    335    358    339    347     28     36     Toxin with inhibitor cystine knot ICK or Knottin scaffold
CBM_14                  -2.8   6.8e+03     1   0.3     13     39     14     31     18     35     Chitin binding Peritrophin-A domain
Toxin_35                -7.1   1.7e+04     1   4.1     53     73     58     64     30     36     Toxin with inhibitor cystine knot ICK or Knottin scaffold
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
TRAPPC9-Trs120          91.9   1.7e-26   4   5.0   0.0    Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC-Trs85            11.8      0.08   2   2.4   0.1    ER-Golgi trafficking TRAPP I complex 85 kDa subunit

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
TRAPPC9-Trs120          42.6   1.3e-11     3   0.0    498    951    518    823    551    862     Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC9-Trs120          37.5   4.4e-10     1   0.0     53    370     62    331     69    308     Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC-Trs85             6.6         3     1   0.0     85    338    229    321    326    376     ER-Golgi trafficking TRAPP I complex 85 kDa subunit
TRAPPC9-Trs120           2.6        16     4   0.0    985   1098    986   1080   1100   1198     Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC9-Trs120           1.5        34     2   0.0    439    491    463    482    467    486     Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRAPPC-Trs85             2.8        45     2   0.0    341    533    427    492    336    358     ER-Golgi trafficking TRAPP I complex 85 kDa subunit
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
zf-C3HC4_3              26.2   4.8e-06   1   1.3   8.5    Zinc finger, C3HC4 type (RING finger)
zf-C3HC4_2              26.0   5.5e-06   1   1.5   9.2    Zinc finger, C3HC4 type (RING finger)
zf-C3HC4                24.5   1.7e-05   1   1.6  10.7    Zinc finger, C3HC4 type (RING finger)
zf-RING_5               23.2   4.5e-05   1   1.5  10.6    zinc-RING finger domain
Prok-RING_4             21.8   0.00012   1   1.4   9.4    Prokaryotic RING finger family 4
zf-RING_UBOX            17.3    0.0032   1   1.8   5.5    RING-type zinc-finger
zf-rbx1                 16.5    0.0071   1   1.6   6.3    RING-H2 zinc finger domain
zf-RING_6               15.8    0.0086   1   1.5   3.9    zf-RING of BARD1-type protein
zf-RING_2               16.2    0.0092   1   1.5   9.8    Ring finger domain
GIT_CC                  13.1     0.067   6   6.6   0.2    GIT coiled-coil Rho guanine nucleotide exchange factor
zf-C3HC4_4              10.2       0.6   1   1.8   8.5    zinc finger of C3HC4-type, RING
zf-C3HC4_5               9.5      0.82   1   1.6   4.8    Zinc finger, C3HC4 type (RING finger)
DUF5065                  9.0       1.2   2   2.6   5.1    Domain of unknown function (DUF5065)
Ribosomal_L37e           8.2       2.6   1   1.5   5.4    Ribosomal protein L37e
zf-RING_4                7.2       3.9   1   1.8   6.6    RING/Ubox like zinc-binding domain
DZR                      7.3       4.4   1   1.6   6.4    Double zinc ribbon

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
zf-C3HC4_3              25.5   8.1e-06     1   8.5    923    971    926    967      4     45     Zinc finger, C3HC4 type (RING finger)
zf-C3HC4_2              25.1     1e-05     1   9.2    926    965    927    965      2     40     Zinc finger, C3HC4 type (RING finger)
zf-C3HC4                23.5   3.5e-05     1  10.7    927    965    927    965      1     41     Zinc finger, C3HC4 type (RING finger)
zf-RING_5               22.2   9.5e-05     1  10.6    926    967    927    966      2     43     zinc-RING finger domain
Prok-RING_4             21.0   0.00021     1   9.4    927    975    927    971      1     42     Prokaryotic RING finger family 4
zf-RING_UBOX            15.9    0.0094     1   5.5    924    963    930    963      4     38     RING-type zinc-finger
zf-rbx1                 15.3     0.016     1   6.3    917    966    926    965     13     54     RING-H2 zinc finger domain
zf-RING_2               15.3     0.017     1   9.8    925    966    927    965      3     43     Ring finger domain
zf-RING_6               14.9     0.017     1   3.9    918    974    922    965      5     46     zf-RING of BARD1-type protein
GIT_CC                  13.1     0.067     3   0.2    482    518    487    513     33     59     GIT coiled-coil Rho guanine nucleotide exchange factor
DUF5065                 10.2      0.54     2   0.9    722    808    743    797     51    107     Domain of unknown function (DUF5065)
zf-C3HC4_4               8.9       1.6     1   8.5    927    965    927    965      1     42     zinc finger of C3HC4-type, RING
zf-C3HC4_5               8.4       1.8     1   4.8    923    967    940    964     23     47     Zinc finger, C3HC4 type (RING finger)
Ribosomal_L37e           7.0       5.9     1   5.4    939    977    943    966     15     38     Ribosomal protein L37e
zf-RING_4                5.9        10     1   6.6    925    970    938    966     16     44     RING/Ubox like zinc-binding domain
DZR                      6.1        10     1   6.4    918    973    927    965     15     48     Double zinc ribbon
GIT_CC                   4.4        37     4   2.9    617    695    639    688     17     59     GIT coiled-coil Rho guanine nucleotide exchange factor
GIT_CC                   1.3   3.3e+02     2   0.2    404    458    421    456     29     64     GIT coiled-coil Rho guanine nucleotide exchange factor
